Size,Male,English,Adult,NUST,Arrival,Affiliate,Employed,U,V,y,Simulated_V,Optimal_V,theta,theta_original,Simulated_Y,Successful_match
1,1,1,1,0,2012-07-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2020-08-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,1,2020-07-01,55,0,8,17,1,17,17,0.32702159318874013,0.32702159318874013,1,0
1,1,1,1,0,2020-03-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2020-03-01,39,0,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2020-09-01,55,0,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,0,1,0,2020-09-01,55,0,6,17,0,17,17,0.27193613082881435,0.27193613082881435,0,0
1,1,1,1,0,2012-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-06-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2016-06-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2012-12-01,6,1,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2014-03-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-03-01,13,1,8,5,1,5,5,0.7352848527029117,0.7352848527029117,1,0
1,1,1,1,0,2019-12-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2020-07-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2019-07-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2017-10-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-12-01,39,1,8,10,1,10,10,0.6278996485764445,0.6278996485764445,1,0
1,1,1,1,0,2019-03-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2016-12-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,1,2019-09-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,1
1,1,1,1,0,2014-03-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-07-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,0,1,1,0,2013-12-01,8,0,7,4,0,4,4,0.2145959403571148,0.2145959403571148,0,0
1,1,1,1,0,2014-01-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-07-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2016-12-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2020-07-01,46,0,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,0,0,0,2013-11-01,3,1,2,2,0,2,2,0.09003047142919088,0.09003047142919088,0,0
1,1,1,1,1,2014-02-01,46,0,8,14,0,5,14,0.63129384061307,0.63129384061307,1,1
1,1,1,1,0,2014-03-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-03-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2016-12-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,0,0,2014-09-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,1,0,2014-07-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,0,0,2014-07-01,3,1,4,2,0,2,2,0.21514079486428245,0.21514079486428245,0,0
1,1,1,1,0,2014-07-01,30,1,8,9,0,9,9,0.779371133417259,0.779371133417259,0,0
1,1,1,1,0,2014-08-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-05-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-08-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-05-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,0,1,1,0,2014-07-01,46,0,7,14,1,14,14,0.42587282805266985,0.42587282805266985,1,0
1,1,1,1,0,2014-05-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2019-02-01,50,0,8,16,1,16,16,0.71186845409961,0.71186845409961,1,0
1,1,1,1,0,2016-01-01,6,1,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,0,0,2014-09-01,39,1,4,10,0,10,10,0.5458041625063603,0.5458041625063603,0,0
1,1,1,1,0,2013-09-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-03-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2016-08-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2013-10-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-07-01,46,1,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,1,0,0,2014-05-01,13,0,4,5,1,5,5,0.6087496528107688,0.6087496528107688,1,0
1,1,1,1,0,2017-10-01,30,1,8,9,0,9,9,0.779371133417259,0.779371133417259,0,0
1,1,1,1,0,2014-05-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,0,1,1,2014-07-01,8,0,6,4,0,16,17,0.3395627344058163,0.3395627344058163,1,1
1,1,1,1,0,2014-10-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-02-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-08-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,0,1,1,0,2015-03-01,6,0,7,3,1,3,3,0.12634846723393262,0.12634846723393262,1,0
1,1,1,1,0,2017-06-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2014-06-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-08-01,45,1,8,13,1,13,13,0.6725969062455596,0.6725969062455596,1,0
1,1,1,1,0,2014-09-01,55,1,8,17,1,17,17,0.32702159318874013,0.32702159318874013,1,0
1,1,1,1,0,2014-07-01,26,1,8,8,1,8,8,0.4717393053059779,0.4717393053059779,1,0
1,1,1,1,1,2014-05-01,8,1,8,4,0,9,13,0.459195390626195,0.459195390626195,1,1
1,1,1,1,0,2014-07-01,30,1,8,9,0,9,9,0.779371133417259,0.779371133417259,0,0
1,1,1,0,0,2014-09-01,3,0,4,2,0,2,2,0.21514079486428245,0.21514079486428245,0,0
1,1,1,1,1,2014-05-01,8,1,8,4,1,9,14,0.459195390626195,0.459195390626195,1,1
1,1,1,1,0,2014-09-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,1,2015-04-01,22,0,8,7,0,13,15,0.45166098760201123,0.45166098760201123,0,1
1,1,1,0,0,2014-09-01,55,1,4,17,0,17,17,0.21321022397549477,0.21321022397549477,0,0
1,1,1,1,0,2015-04-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-09-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,0,0,2016-10-01,13,0,4,5,0,5,5,0.6087496528107688,0.6087496528107688,0,0
1,1,1,1,0,2015-09-01,26,0,8,8,1,8,8,0.4717393053059779,0.4717393053059779,1,0
1,1,1,1,0,2015-01-01,30,1,8,9,1,9,9,0.779371133417259,0.779371133417259,1,0
1,1,1,1,0,2014-08-01,39,1,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2014-08-01,30,1,8,9,1,9,9,0.779371133417259,0.779371133417259,1,0
1,1,1,1,0,2015-04-01,45,1,8,13,1,13,13,0.6725969062455596,0.6725969062455596,1,0
1,1,1,1,0,2014-09-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,0,1,2014-06-01,8,1,4,4,1,14,4,0.47842511915457175,0.47842511915457175,1,1
1,1,1,1,0,2015-10-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2014-06-01,55,0,8,17,0,9,5,0.32702159318874013,0.32702159318874013,1,1
1,1,1,0,1,2014-09-01,8,1,4,4,0,16,14,0.47842511915457175,0.47842511915457175,0,1
1,1,1,1,0,2014-06-01,6,1,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2014-08-01,46,1,8,14,0,14,14,0.63129384061307,0.63129384061307,0,0
1,1,1,1,0,2019-03-01,55,0,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2014-07-01,55,1,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2014-12-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,0,0,2014-10-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,1,0,2014-11-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2015-01-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2016-04-01,2,0,8,1,0,16,10,0.3457880156496692,0.3457880156496692,1,1
1,1,1,1,0,2014-09-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2014-09-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,0,0,1,2014-06-01,8,1,2,4,0,5,16,0.16402052887786386,0.16402052887786386,0,1
1,0,1,1,0,2014-12-01,3,0,7,2,0,2,2,0.21066558934177804,0.21066558934177804,0,0
1,1,1,0,1,2014-05-01,8,1,4,4,1,14,4,0.47842511915457175,0.47842511915457175,0,1
1,1,1,1,0,2015-02-01,39,1,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2015-02-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-03-01,45,1,8,13,0,13,13,0.6725969062455596,0.6725969062455596,0,0
1,1,1,1,0,2014-10-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2019-01-01,55,1,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2015-01-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,1,2014-04-01,46,0,8,14,1,9,14,0.63129384061307,0.63129384061307,1,1
1,1,1,0,0,2014-09-01,22,0,4,7,1,7,7,0.43121405031467447,0.43121405031467447,1,0
1,1,1,0,0,2014-06-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,1,0,2014-10-01,3,0,8,2,1,2,2,0.2631301255029518,0.2631301255029518,1,0
1,1,1,0,0,2014-04-01,26,0,4,8,0,8,8,0.3474783855766085,0.3474783855766085,0,0
1,1,1,0,1,2014-04-01,8,1,4,4,0,14,4,0.47842511915457175,0.47842511915457175,1,1
1,1,1,1,0,2014-07-01,45,0,8,13,1,13,13,0.6725969062455596,0.6725969062455596,1,0
1,1,1,1,0,2014-07-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2015-04-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,0,1,1,1,2014-11-01,46,0,7,14,1,5,14,0.42587282805266985,0.42587282805266985,0,1
1,1,1,1,0,2014-10-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-10-01,13,0,8,5,1,5,5,0.7352848527029117,0.7352848527029117,1,0
1,1,1,1,0,2014-07-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-06-01,49,0,8,15,0,15,15,0.6061723702811289,0.6061723702811289,0,0
1,1,1,1,0,2014-07-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-07-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2016-12-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-04-01,55,1,8,17,1,17,17,0.32702159318874013,0.32702159318874013,1,0
1,1,1,1,0,2014-11-01,39,1,8,10,1,10,10,0.6278996485764445,0.6278996485764445,1,0
1,1,1,1,0,2014-05-01,46,0,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,1,1,0,2014-11-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-07-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-06-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2014-07-01,46,1,8,14,1,14,14,0.63129384061307,0.63129384061307,1,1
1,1,1,0,0,2014-12-01,6,0,4,3,0,3,3,0.20387011641080766,0.20387011641080766,0,0
1,1,1,1,0,2015-09-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-10-01,13,1,8,5,1,5,5,0.7352848527029117,0.7352848527029117,1,0
1,1,1,1,0,2015-04-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-11-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,0,0,2014-10-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,1,0,2015-04-01,30,1,8,9,1,9,9,0.779371133417259,0.779371133417259,1,0
1,1,1,0,1,2014-06-01,8,1,4,4,1,15,4,0.47842511915457175,0.47842511915457175,1,1
1,1,1,1,1,2014-06-01,30,0,8,9,1,9,14,0.779371133417259,0.779371133417259,1,1
1,1,1,1,0,2015-03-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,1,2014-11-01,13,1,8,5,1,10,13,0.7352848527029117,0.7352848527029117,0,1
1,1,1,1,0,2015-02-01,39,1,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2014-09-01,45,1,8,13,0,13,13,0.6725969062455596,0.6725969062455596,0,0
1,1,1,0,0,2014-11-01,6,0,4,3,1,3,3,0.20387011641080766,0.20387011641080766,1,0
1,1,1,0,0,2016-03-01,6,1,4,3,0,3,3,0.20387011641080766,0.20387011641080766,0,0
1,1,1,1,0,2014-12-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-11-01,30,1,8,9,1,9,9,0.779371133417259,0.779371133417259,1,0
1,1,1,1,0,2015-02-01,39,1,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2015-03-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2015-06-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-10-01,46,0,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,1,1,1,2015-11-01,49,0,8,15,0,14,5,0.6061723702811289,0.6061723702811289,1,1
1,1,1,1,1,2014-11-01,2,1,8,1,0,14,14,0.3457880156496692,0.3457880156496692,1,1
1,1,1,1,0,2014-12-01,46,1,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,1,1,1,2015-01-01,55,0,8,17,0,14,13,0.32702159318874013,0.32702159318874013,0,1
1,1,1,0,0,2014-07-01,8,1,4,4,0,4,4,0.47842511915457175,0.47842511915457175,0,0
1,0,1,1,0,2014-11-01,8,0,7,4,1,4,4,0.2145959403571148,0.2145959403571148,1,0
1,1,1,0,0,2014-07-01,6,0,4,3,1,3,3,0.20387011641080766,0.20387011641080766,1,0
1,1,1,1,0,2015-02-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2015-08-01,22,1,8,7,0,7,7,0.45166098760201123,0.45166098760201123,0,0
1,1,1,1,0,2014-06-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,0,0,2014-10-01,3,0,4,2,0,2,2,0.21514079486428245,0.21514079486428245,0,0
1,1,1,1,0,2014-10-01,3,0,8,2,1,2,2,0.2631301255029518,0.2631301255029518,1,0
1,1,1,1,0,2015-02-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-01-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,0,1,0,0,2013-11-01,3,0,3,2,0,2,2,0.13963515339654772,0.13963515339654772,0,0
1,1,1,0,0,2014-11-01,2,0,4,1,0,1,1,0.18038984443967693,0.18038984443967693,0,0
1,1,1,1,0,2015-02-01,49,0,8,15,1,15,15,0.6061723702811289,0.6061723702811289,1,0
1,1,1,1,0,2015-04-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,0,0,0,0,2013-12-01,8,0,1,4,0,4,4,0.06593928634726717,0.06593928634726717,0,0
1,1,1,0,0,2014-10-01,8,0,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,0,0,2015-05-01,3,1,4,2,0,2,2,0.21514079486428245,0.21514079486428245,0,0
1,1,1,0,0,2014-10-01,8,0,4,4,0,4,4,0.47842511915457175,0.47842511915457175,0,0
1,1,1,1,0,2015-12-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,0,1,1,0,2016-03-01,8,1,7,4,0,4,4,0.2145959403571148,0.2145959403571148,0,0
1,1,1,1,0,2017-04-01,6,1,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-05-01,13,1,8,5,1,5,5,0.7352848527029117,0.7352848527029117,1,0
1,1,1,1,0,2015-04-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,0,1,0,0,2014-12-01,8,0,3,4,0,4,4,0.17388230365868787,0.17388230365868787,0,0
1,1,1,1,0,2015-03-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2015-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-09-01,46,1,8,14,0,14,14,0.63129384061307,0.63129384061307,0,0
1,1,1,1,0,2016-01-01,13,1,8,5,0,5,5,0.7352848527029117,0.7352848527029117,0,0
1,1,1,1,0,2015-04-01,22,0,8,7,1,7,7,0.45166098760201123,0.45166098760201123,1,0
1,1,1,1,0,2015-11-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-05-01,3,1,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,0,0,2015-05-01,8,1,4,4,0,4,4,0.47842511915457175,0.47842511915457175,0,0
1,1,1,1,0,2015-01-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,1,2015-06-01,6,0,8,3,0,13,5,0.2965652259440938,0.2965652259440938,0,1
1,1,1,1,0,2015-06-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2015-05-01,22,0,8,7,0,14,13,0.45166098760201123,0.45166098760201123,1,1
1,1,1,1,0,2015-02-01,49,1,8,15,1,15,15,0.6061723702811289,0.6061723702811289,1,0
1,1,1,1,0,2015-04-01,3,1,8,2,1,2,2,0.2631301255029518,0.2631301255029518,1,0
1,1,1,1,0,2018-07-01,55,0,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2017-12-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-04-01,55,1,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2015-02-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-10-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,0,0,2015-05-01,13,0,4,5,1,5,5,0.6087496528107688,0.6087496528107688,1,0
1,1,1,1,0,2014-12-01,30,1,8,9,1,9,9,0.779371133417259,0.779371133417259,1,0
1,1,1,1,0,2014-11-01,49,0,8,15,0,15,15,0.6061723702811289,0.6061723702811289,0,0
1,1,1,1,0,2017-04-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-11-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,0,1,1,0,2015-02-01,6,1,7,3,0,3,3,0.12634846723393262,0.12634846723393262,0,0
1,0,1,0,0,2015-07-01,39,0,3,10,0,10,10,0.3445934824582871,0.3445934824582871,0,0
1,1,1,1,0,2015-02-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2017-03-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,0,1,0,2016-02-01,8,1,6,4,0,4,4,0.3395627344058163,0.3395627344058163,0,0
1,1,1,1,0,2015-11-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-11-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2015-10-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-03-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2015-08-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,0,0,2015-10-01,49,0,4,15,1,15,15,0.5322391782956031,0.5322391782956031,1,0
1,1,1,1,0,2015-12-01,13,0,8,5,1,5,5,0.7352848527029117,0.7352848527029117,1,0
1,1,1,1,0,2017-02-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,1,2016-03-01,22,1,8,7,1,9,14,0.45166098760201123,0.45166098760201123,1,1
1,1,1,0,0,2015-11-01,8,0,4,4,0,4,4,0.47842511915457175,0.47842511915457175,0,0
1,1,1,1,0,2015-09-01,55,0,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2016-03-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,1,2015-08-01,45,1,8,13,0,14,13,0.6725969062455596,0.6725969062455596,0,1
1,1,1,1,0,2015-07-01,46,1,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,1,0,0,2015-07-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,1,0,2016-03-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2016-03-01,49,1,8,15,1,15,15,0.6061723702811289,0.6061723702811289,1,0
1,1,1,1,0,2015-12-01,45,1,8,13,1,13,13,0.6725969062455596,0.6725969062455596,1,0
1,1,1,1,0,2017-01-01,3,1,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-07-01,55,1,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,1,1,0,2015-11-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-12-01,55,0,8,17,1,17,17,0.32702159318874013,0.32702159318874013,1,0
1,1,1,1,0,2016-08-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-03-01,55,0,8,17,1,17,17,0.32702159318874013,0.32702159318874013,1,0
1,1,1,1,0,2016-03-01,3,0,8,2,1,2,2,0.2631301255029518,0.2631301255029518,1,0
1,1,1,1,1,2016-01-01,8,0,8,4,1,15,13,0.459195390626195,0.459195390626195,1,1
1,1,1,1,0,2016-01-01,13,1,8,5,0,5,5,0.7352848527029117,0.7352848527029117,0,0
1,1,1,1,0,2015-10-01,39,1,8,10,1,10,10,0.6278996485764445,0.6278996485764445,1,0
1,1,1,1,0,2015-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2015-11-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,1,2016-03-01,30,0,8,9,0,15,13,0.779371133417259,0.779371133417259,1,1
1,1,1,1,0,2016-11-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2016-03-01,49,1,8,15,1,15,15,0.6061723702811289,0.6061723702811289,1,0
1,1,1,1,0,2018-12-01,45,1,8,13,0,13,13,0.6725969062455596,0.6725969062455596,0,0
1,0,1,1,0,2014-09-01,6,0,7,3,0,3,3,0.12634846723393262,0.12634846723393262,0,0
1,1,1,1,1,2016-07-01,30,0,8,9,1,16,5,0.779371133417259,0.779371133417259,1,1
1,1,1,1,0,2016-02-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2015-11-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-12-01,6,1,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,1,2016-04-01,45,1,8,13,1,16,10,0.6725969062455596,0.6725969062455596,0,1
1,1,1,0,0,2016-10-01,8,0,4,4,0,4,4,0.47842511915457175,0.47842511915457175,0,0
1,1,1,1,0,2016-05-01,8,1,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,0,0,0,1,2016-09-01,41,0,1,12,1,17,3,0.1871899278769268,0.1871899278769268,0,1
1,1,1,1,0,2016-01-01,22,1,8,7,1,7,7,0.45166098760201123,0.45166098760201123,1,0
1,1,1,1,0,2016-01-01,39,1,8,10,1,10,10,0.6278996485764445,0.6278996485764445,1,0
